ID,Artist,Release_Title,Style,Year,Country,Label,Format,Have,Want,Mean
13474305,Orbital , Buried Deeper Within / Impact (The Cursed Earth M,Techno,2019,UK; Europe & US,ACP Recordings; ACP Recordings Ltd.; ACP Recording,Vinyl; 12"; 45 RPM; Limited Edition,371,52,00211
13803451,Barker* , BARKER 001,Techno,2019,Germany,Ostgut Ton; Scape Mastering; Copyright Control,Vinyl; 12"; Limited Edition; White Label,182,219,00200
13142871,Planetary Assault Systems , Straight Shooting,Techno,2019,UK,Mote-Evolver,Vinyl; 12",195,168,00181
13178981,AIROD , Voltage EP,Techno,2019,Belgium,Lenske Records,Vinyl; 12",209,121,00165
13249290,AIROD , Universe Remix EP,Techno,2019,France,Molekül; Curve Pusher,Vinyl; 12"; EP,145,177,00161
13669663,Rikhter , RIK1,Techno,2019,Germany,R - Label Group; Hard Wax; Glowcast Audio Masterin,Vinyl; 12"; 33 ⅓ RPM; EP,143,176,00159
13295785,Dark Comedy , Corbomite Manuever EP,Techno,2019,UK,Mint Condition; Lark Music; Above Board Distributi,Vinyl; 12"; EP; Reissue; Remastered,115,175,00145
13212807,MDA Analog , Shine EP,Techno,2019,Unknown,MDA LABS,Vinyl; 12"; Reissue,123,134,00128
13045749,Shxcxchcxsh , WOЯD EP,Techno,2019,Netherlands,Mord; Mord; Mord; The Exchange Vinyl; Record Indus,Vinyl; 12"; 33 ⅓ RPM; EP,162,88,00125
13920892,Z@P , Brutalismo,Techno,2019,Germany,My Own Jupiter,Vinyl; 10"; Single,106,145,00125
13580912,Paula Temple , Edge Of Everything,Techno,2019,Netherlands,Noise Manifesto; Wordandsound; Noise Manifesto; No,Vinyl; LP; Album,137,106,00121
13641415,Yak (19) , Termina EP,Techno,2019,UK,R & S Records,Vinyl; 12",110,124,00117
14238549,Blawan , Many Many Pings,Techno,2019,UK,Ternesc,Vinyl; 12",131,102,00116
13915901,Nina Kraviz , Stranno Neobjatno,Techno,2019,Russia,трип,Vinyl; 12"; EP,164,65,00114
13860569,Farrago (3) , Neontrance,Techno,2019,Belgium,Lenske Records,Vinyl; 12",177,49,00113
14121636,Amelie Lens , Little Robot,Techno,2019,Belgium,Lenske Records,Vinyl; 12"; EP,173,49,00111
13430457,Corp , Time Out,Techno,2019,Italy,Spaziotempo,Vinyl; 12"; 33 ⅓ RPM; EP,123,100,00111
14003054,Aurora Halal , Liquiddity,Techno,2019,US,Mutual Dreaming Recordings,Vinyl; 12",107,109,00108
13354120,Kobosil , RK4,Techno,2019,Germany,R - Label Group; Hard Wax; Glowcast Audio Masterin,Vinyl; 12"; 33 ⅓ RPM; EP,97,118,00107
14000178,Ben Klock , Subzero / Coney Island,Techno,2019,Germany,Ostgut Ton; Copyright Control; Dubplates & Masteri,Vinyl; 12"; 45 RPM,164,49,00106
13695405,Jeff Mills , If Remixes,Techno,2019,US,Purpose Maker; Copyright Control; Axis Records; Pu,Vinyl; 12"; 45 RPM,149,64,00106
13762703,Jeff Mills , The Director's Cut Chapter 3,Techno,2019,US,Axis; Axis Records; Axis Records; Millsart; Univer,Vinyl; 12"; Compilation; Remastered,163,49,00106
14014972,Anna* & Kittin* , Speicher 112,Techno,2019,Germany,Kompakt Extra; Speicher; Kompakt Distribution; SST,Vinyl; 12"; 45 RPM,141,67,00104
14115405,Dominik Eulberg , Mannigfaltig,Techno,2019,Germany,!K7 Records; K7 Music GmbH; K7 Music GmbH; Calyx M,Vinyl; LP; Album,173,36,00104
13551554,Sleeparchive , Revised Recordings EP ,Techno,2019,Germany,Tresor; Tresor Records; Tresor Records; Mikrofisch,Vinyl; 12"; 33 ⅓ RPM; EP,145,60,00102
13281432,Maceo Plex , Mutant Tour 2019,Techno,2019,UK,Ellum Audio,Vinyl; LP; Compilation; Limited Edition; White Lab,106,98,00102
13280930,Die Orangen , Saft 2,Techno,2019,Israel,Malka Tuti; Malka Tuti; Malka Tuti; Kompakt Distri,Vinyl; 12",98,103,00100
13569902,Milo Spykers , Observable 93,Techno,2019,Belgium,Lenske Records,Vinyl; 12",144,57,00100
13476873,TV.OUT , TV.OUT,Techno,2019,US,L.I.E.S. Records,Vinyl; 12",105,93,00099
13579861,Mike Parker , Early Works,Techno,2019,Germany,Ownlife; The Exchange Vinyl; The Exchange Vinyl; R,Vinyl; 12"; 33 ⅓ RPM; EP; Remastered,116,80,00098
